Zone,Quest,AP,Type,Sample,Bronze Material,,,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,,,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Training Grounds,Berserker: Extre,40,Daily,12638,126.0,,,123.8,,,,110.5,,,,,,,,,,142.7,,,,,,,,,,,,,,,,,,,,,,,240.3,,,,,,,,,,424.8,,,,,,,,,,,,,,,,154.5,,,,,,,,37.4,,,,,,,,74.5,,,,,,,,61.5,,,,,,,,48.2,,,,,,,,378.2,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Berserker: Exp,40,Daily,1000,168.1,,,166.0,,,,,,,,,,,,,,236.7,,,,,,,,,,,,,,,,,,,,,,,540.5,,,,,,,,,,,,,,,,,,,,,,,,,,192.3,,,,,,,,34.9,,,,,,,,161.3,,,,,,,,43.9,,,,,,,,74.9,,,,,,,,439.6,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Berserker: Adv,30,Daily,1100,165.8,,,129.9,,,,,,,,,,,,,,232.4,,,,,,,,,,,,,,,,,,,,,,,388.2,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,,,,22.0,,,,,,,,259.8,,,,,,,,29.0,,,,,,,,74.2,,,,,,,,311.3,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Berserker: Inter,20,Daily,1200,285.7,,,109.1,,,,,,,,,,,,,,137.1,,,,,,,,,,,,,,,,,,,,,,,705.9,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,31.1,,,,,,,,,,,,,,,,24.8,,,,,,,,106.2,,,,,,,,56.9,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Berserker: Nov,10,Daily,1342,82.8,,,244.0,,,,,,,,,,,,,,139.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,167.8,,,,,,,,24.4,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Training Grounds,Rider: Extreme,40,Daily,5935,,,77.2,117.2,,,,,,,,,,,,,,,,,,,,129.2,,,,,,,,,,,,,,,,,,,423.9,,,,,,,261.7,,,,,,,,,,,,,,130.6,,,,,,,,36.5,,,,,,,,73.3,,,,,,,,61.1,,,,,,,,49.0,,,,,,,,360.2,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Rider: Expert,40,Daily,1020,,,76.0,244.3,,,,,,,,,,,,,,,,,,,,212.5,,,,,,,,,,,,,,,,,,,485.7,,,,,,,,,,,,,,,,,,,,,189.8,,,,,,,,41.7,,,,,,,,111.8,,,,,,,,47.8,,,,,,,,66.2,,,,,,,,293.5,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Rider: Advanced,30,Daily,2869,,,58.4,220.1,,,,,,,,,,,,,,,,,,,,190.4,,,,,,,,,,,,,,,,,,,1003.2,,,,,,,,,,,,,,,,,,,,,117.3,,,,,,,,24.8,,,,,,,,124.7,,,,,,,,29.4,,,,,,,,75.3,,,,,,,,295.6,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Rider: Intermedi,20,Daily,1670,,,60.9,130.0,,,,,,,,,,,,,,,,,,,,203.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,21.6,,,,,,,,,,,,,,,,24.8,,,,,,,,109.9,,,,,,,,65.4,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Rider: Novice,10,Daily,2349,,,50.7,165.4,,,,,,,,,,,,,,,,,,,,176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,170.2,,,,,,,,22.6,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Training Grounds,Caster: Extreme,40,Daily,28573,,,,103.5,,,,,,,,,,,,,,,127.4,,,123.6,,,,,,,,,,,,,,,,,,,,452.6,,,,,,249.2,428.8,,,,,,,,,,,,,,,,238.6,,,,,,,,38.7,,,,,,,,50.2,,,,,,,,61.8,,,,,,,,48.8,,,,,,,,267.0,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Caster: Expert,40,Daily,1003,,,,152.5,,,,,,,,,,,,,,,146.1,,,185.7,,,,,,,,,,,,,,,,,,,,541.1,,,,,,,,,,,,,,,,,,,,,,,494.3,,,,,,,,44.6,,,,,,,,49.5,,,,,,,,49.2,,,,,,,,66.2,,,,,,,,325.5,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Caster: Advance,30,Daily,2058,,,,137.2,,,,,,,,,,,,,,,121.3,,,190.6,,,,,,,,,,,,,,,,,,,,823.2,,,,,,,,,,,,,,,,,,,,,,,582.5,,,,,,,,17.7,,,,,,,,119.4,,,,,,,,31.9,,,,,,,,87.7,,,,,,,,208.6,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Caster: Intermed,20,Daily,1110,,,,85.4,,,,,,,,,,,,,,,129.1,,,156.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,25.3,,,,,,,,,,,,,,,,22.2,,,,,,,,110.4,,,,,,,,42.6,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Caster: Novice,10,Daily,2435,,,,70.7,,,,,,,,,,,,,,,114.3,,,145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,82.5,,,,,,,,,,,,,,,,15.4,,,,,,,,177.7,,,,,,,,26.0,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Training Grounds,Assassin: Extre,40,Daily,6441,,,145.4,147.6,110.7,,,,,,,,,,,114.9,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.8,,,,,,,,,,,,,,,,,,,163.7,,,,,,,,37.5,,,,,,,,73.3,,,,,,,,61.3,,,,,,,,48.4,,,,,,,,1229.0,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Assassin: Exp,40,Daily,1301,,,265.5,208.2,,,,,,,,,,,,117.7,209.0,,,,3469.3,,,,,,,,,,,,,,,,,,,,,,,,,,351.6,,,,,,,,,,,,,,,,,,,224.3,,,,,,,,34.4,,,,,,,,154.4,,,,,,,,50.2,,,,,,,,67.1,,,,,,,,416.7,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Assassin: Adv,30,Daily,1670,,,248.0,189.1,,,,,,,,,,,,172.2,168.7,,,,197.2,,,,,,,,,,,,,,,,,,,,,,,,,,569.3,,,,,,,,,,,,,,,,,,,162.7,,,,,,,,20.6,,,,,,,,206.2,,,,,,,,29.0,,,,,,,,79.8,,,,,,,,272.3,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Assassin: Inter,20,Daily,1618,,,95.5,121.2,,,,,,,,,,,,218.6,599.3,,,,176.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,19.0,,,,,,,,,,,,,,,,25.1,,,,,,,,96.6,,,,,,,,55.2,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Assassin: Nov,10,Daily,1307,,,68.1,90.8,,,,,,,,,,,,,251.3,,,,163.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,198.0,,,,,,,,21.4,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Training Grounds,Saber: Extreme,40,Daily,3856,128.3,,,153.8,,,,,,,,,,,,,,,,176.7,163.4,,,,,173.5,151.7,,,,,,,,,,,,,,,,,421.4,,,,,,,,,,,,,,,,,163.2,,,,,,,,36.3,,,,,,,,70.0,,,,,,,,61.2,,,,,,,,49.5,,,,,,,,389.5,,,,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Saber: Expert,40,Daily,1000,200.0,,,148.1,,,,,,,,,,,,141.3,,,,327.9,219.8,,,,,185.2,,,,,,,,,,,,,,,,,,384.6,,,,,,,,,,,,,,,,,166.7,,,,,,,,34.7,,,,,,,,162.6,,,,,,,,53.8,,,,,,,,71.4,,,,,,,,561.3,,,,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Saber: Advance,30,Daily,1801,210.2,,,150.9,,,,,,,,,,,,112.6,,,,166.2,190.9,,,,,175.4,,,,,,,,,,,,,,,,,,871.5,,,,,,,,,,,,,,,,,119.3,,,,,,,,22.0,,,,,,,,658.9,,,,,,,,29.5,,,,,,,,84.7,,,,,,,,336.9,,,,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Saber: Intermed,20,Daily,1140,150.0,,,125.3,,,,,,,,,,,,141.6,,,,,190.0,,,,,175.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,25.9,,,,,,,,,,,,,,,,25.3,,,,,,,,101.8,,,,,,,,55.8,,,,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Saber: Novice,10,Daily,3619,95.2,40.7,222.0,161.6,,,,,,,,,,,,,,,,,163.0,,,,,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,,,165.3,,,,,,,,21.0,,,,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Fuyuki,X-A,3,Free,820902,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,1.3,216.7,25.00,41.67,8.33,9.00,10.00,25.67,42.33,26.67,9.33,8.67,10.00,26.00,42.00,26.67,10.33,10.33,10.67,27.00,42.75,27.00,27.33,42.75,
Fuyuki,X-B,4,Free,1258,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,3.5,195.0,21.25,33.75,8.75,9.50,10.50,22.00,34.50,23.00,10.00,9.00,10.50,22.50,34.00,23.00,10.75,10.75,11.25,23.25,34.94,23.25,23.75,34.94,
Fuyuki,X-C,4,Free,43896,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,3.5,195.0,21.25,33.75,8.75,9.50,10.50,22.00,34.50,23.00,10.00,9.00,10.50,22.50,34.00,23.00,10.75,10.75,11.25,23.25,34.94,23.25,23.75,34.94,
Fuyuki,X-D,5,Free,1221,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,4.8,208.0,21.00,31.00,11.20,12.00,13.20,22.00,32.00,23.20,12.60,11.40,13.20,22.60,31.40,23.20,13.60,13.60,14.20,23.60,32.55,23.60,24.20,32.55,
Fuyuki,X-E,5,Free,1671,,25.3,,107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,12.8,260.0,25.00,35.00,15.20,16.40,18.00,26.40,36.40,28.00,17.20,15.60,18.00,27.20,35.60,28.00,18.60,18.60,19.40,28.60,37.15,28.60,29.40,37.15,
Fuyuki,X-F,6,Free,1381,,30.9,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,36.2,,,,,,,,,,,,,,,,,,,,,,,,,120.1,,,113.5,,,,,,,,,,,,,,,,,,,,,,,,,,15.83,20.7,260.0,24.17,32.50,16.00,17.33,19.00,25.67,34.00,27.33,18.17,16.50,19.00,26.50,33.17,27.33,19.67,19.67,20.50,28.00,34.79,28.00,28.83,34.79,
Fuyuki,X-G,15,Free,21931,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3,262.0,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.67,303.5,381.3,31.00,34.33,28.20,30.40,33.20,33.73,37.07,36.53,31.80,29.00,33.20,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Fuyuki,Mobile No.0,7,Free,1008,,,48.0,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4,117.4,,,,31.9,,,,,,,,,,,,,,,,,,,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Domremy,7,Free,1052,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Vaucouleurs,7,Free,1010,,92.4,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,La Charite,7,Free,1026,104.1,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Jura,7,Free,1906,,,90.1,87.2,,,,,,,,,,,,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,37.8,43.2,,76.7,,,,,,,,,,,,,,,,,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
