Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Training Grounds,Saber: Intermed,20,1069,183.4,,,125.0,,,,,,,,,,154.9,,,,,232.4,,,,,205.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saber: Intermed,18.0,,,,,,,,25.3,,,,,,,,,,,,,,,Saber: Intermed,29.0,,,,,,,,257.6,,,,,,,,55.8,,,,,,,,,,,,,,,Saber: Intermed,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,49.37
Training Grounds,Saber: Novice,10,29049,110.0,42.5,275.5,200.8,,,,,,,,,,,,,,,219.9,,,,,213.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saber: Novice,8.0,,,,,,,,,,,,,,,,,,,,,,,Saber: Novice,45.6,,,,,,,,483.0,,,,,,,,21.0,,,,,,,,,,,,,,,Saber: Novice,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,49.37
Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Fuyuki,X-A,3,775336,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-A,20.1,,,,,,,,,,,,,,,,,,,,,,,X-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-A,8.33,1.3,216.7,25.00,41.67,8.33,9.00,10.00,25.67,42.33,26.67,9.33,8.67,10.00,26.00,42.00,26.67,10.33,10.33,10.67,27.00,42.75,27.00,27.33,42.75,
Fuyuki,X-B,4,2479,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-B,28.3,,38.3,,,,,,,,,,,,,,,,,,,,,X-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-B,8.75,3.5,195.0,21.25,33.75,8.75,9.50,10.50,22.00,34.50,23.00,10.00,9.00,10.50,22.50,34.00,23.00,10.75,10.75,11.25,23.25,34.94,23.25,23.75,34.94,
Fuyuki,X-C,4,79694,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-C,20.5,,26.8,,,,,,,,,,,,,,,,,,,,,X-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-C,8.75,3.5,195.0,21.25,33.75,8.75,9.50,10.50,22.00,34.50,23.00,10.00,9.00,10.50,22.50,34.00,23.00,10.75,10.75,11.25,23.25,34.94,23.25,23.75,34.94,
Fuyuki,X-D,5,2305,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-D,21.5,25.0,,,,,,,,,,,,,,,,,,,,,,X-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-D,11.00,4.8,208.0,21.00,31.00,11.20,12.00,13.20,22.00,32.00,23.20,12.60,11.40,13.20,22.60,31.40,23.20,13.60,13.60,14.20,23.60,32.55,23.60,24.20,32.55,
Fuyuki,X-E,5,3485,,30.8,,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-E,27.1,47.6,,,,,,,,,,,,,,,,,,,,,,X-E,,,,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-E,15.00,12.8,260.0,25.00,35.00,15.20,16.40,18.00,26.40,36.40,28.00,17.20,15.60,18.00,27.20,35.60,28.00,18.60,18.60,19.40,28.60,37.15,28.60,29.40,37.15,
Fuyuki,X-F,6,7428,,35.5,,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-F,39.1,39.7,,,,,,,,,,,,,,,,,,,,,,X-F,,,121.6,,,135.1,,,,,,,,,,,,,,,,,,,,,,,,,,X-F,15.83,20.7,260.0,24.17,32.50,16.00,17.33,19.00,25.67,34.00,27.33,18.17,16.50,19.00,26.50,33.17,27.33,19.67,19.67,20.50,28.00,34.79,28.00,28.83,34.79,
Fuyuki,X-G,15,153087,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-G,160.7,329.3,82.5,,,,,,,,,,,,,,,,,,,,,X-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X-G,27.67,303.5,381.3,31.00,34.33,28.20,30.40,33.20,33.73,37.07,36.53,31.80,29.00,33.20,35.13,35.67,36.53,34.53,34.53,35.93,37.87,38.45,37.87,39.27,39.27,
Fuyuki,Mobile No.0,7,1313,,,67.6,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile No.0,139.3,114.9,,,,38.5,,,,,,,,,,,,,,,,,,Mobile No.0,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile No.0,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Domremy,7,1532,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domremy,26.3,,65.9,,,,,,,,,,,,,,,,,,,,,Domremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domremy,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Vaucouleurs,7,1014,,124.5,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaucouleurs,71.0,,,39.2,,,,,,,,,,,,,,,,,,,,Vaucouleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaucouleurs,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,La Charite,7,1020,121.0,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Charite,,,64.9,21.0,,,,,,,,,,,,,,,,,,,,La Charite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Charite,16.43,31.4,260.0,23.57,30.71,16.71,18.00,19.71,25.14,32.29,26.86,18.86,17.14,19.71,26.00,31.43,26.86,20.43,20.43,21.29,27.57,33.11,27.57,28.43,33.11,
Orleans,Jura,7,2132,,,140.8,91.6,,,,,,,,,,138.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jura,45.6,,45.9,41.9,,89.9,,,,,,,,,,,,,,,,,,Jura,,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jura,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
Orleans,Lyon,7,1213,37.2,,,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyon,26.5,,71.4,,,,,,,,,,,,,,,,,,,,,Lyon,,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,Lyon,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
Orleans,Marseille,7,1680,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marseille,32.8,,27.3,,,,,,,,,,,,,,,,,,,,,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marseille,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
Orleans,Thiers,7,1615,,,49.4,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thiers,,,,20.3,,,,,,,,,,,,,,,,,,,,Thiers,,,,,,,79.1,,,,,,,,,,,,,,,,,,,,,,,,,Thiers,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
Orleans,Bordeaux,7,1259,,,,,,,,,,,,,,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux,84.7,,20.8,,,29.9,,,,,,,,,,,,,,,,,,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux,19.29,42.9,297.1,26.43,33.57,19.57,21.14,23.14,28.29,35.43,30.29,22.14,20.14,23.14,29.29,34.43,30.29,24.00,24.00,25.00,31.14,36.39,31.14,32.14,36.39,
