Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Semis: Exp,36.17,2.497,1.318,,Warhorse's Young Horn,16.35,221.2,AP,0.420,0.236,,,Void's Dust,35.93,100.7,AP,0.310,0.150,,,Magic Gem of Lancer,34.3,105.5,AP,0.192,,,,Lancer Monument,1,"3,617.0",AP,0.020,,,,,,,,,,,,,,,,,,,,6400,177,"15,672",,,37.4,9.8,7.8,283.3,,,Forbidden Page,141.7,AP,0.489,0.245,,,Great Knight Medal,141.7,AP,0.422,0.231,,,Proof of Hero,94.4,AP,0.218,0.106,,,Void's Dust,94.4,AP,0.330,0.160,,,Fool's Chain,94.4,AP,0.307,0.188,,,,,,,
Semis: Hero,35.64,3.608,1.881,,Spirit Root,19.35,184.2,AP,0.865,0.422,,,Great Knight Medal,41.8,85.3,AP,0.701,0.384,,,Secret Gem of Saber,16.83,211.8,AP,0.681,,,,Saber Monument,10.5,339.4,AP,0.219,,,,Magic Gem of Saber,19,187.6,AP,0.119,,,,,,,,,,,,7400,208,"18,105",,,39.6,11.9,6.9,245.2,,,Forbidden Page,122.6,AP,0.565,0.283,,,Great Knight Medal,122.6,AP,0.488,0.267,,,Proof of Hero,81.7,AP,0.252,0.123,,,Void's Dust,81.7,AP,0.382,0.185,,,Fool's Chain,81.7,AP,0.355,0.217,,,,,,,
Semis: Monarch,34.59,3.929,2.203,,Mysterious Divine Wine,20.64,167.6,AP,0.834,0.475,,,Meteor Horseshoes,34.02,101.7,AP,0.486,0.353,,,Secret Gem of Rider,19.37,178.6,AP,0.569,,,,Rider Monument,5.8,596.4,AP,0.115,,,,Magic Gem of Rider,15.4,224.6,AP,0.096,,,,Gem of Rider,23.1,149.7,AP,0.056,,,,8400,243,"23,148",,,48.2,15.0,5.5,191.8,,,Forbidden Page,95.9,AP,0.723,0.361,,,Great Knight Medal,95.9,AP,0.624,0.341,,,Proof of Hero,63.9,AP,0.322,0.157,,,Void's Dust,63.9,AP,0.488,0.237,,,Fool's Chain,63.9,AP,0.454,0.278,,,,,,,
Semis: Champ,34.59,4.405,2.372,,Tsukumo Mirror,25.05,138.1,AP,1.137,0.552,,,Eternal Ice,49.39,70.0,AP,0.658,0.446,,,Secret Gem of Archer,24.97,138.5,AP,0.971,,,,Archer Monument,,,,,,,,,,,,,,,,,,,,,,,,9400,272,"23,148",,,48.2,15.0,5.5,191.8,,,Forbidden Page,95.9,AP,0.723,0.361,,,Great Knight Medal,95.9,AP,0.624,0.341,,,Proof of Hero,63.9,AP,0.322,0.157,,,Void's Dust,63.9,AP,0.488,0.237,,,Fool's Chain,63.9,AP,0.454,0.278,,,,,,,
Finals: Beg,9.15,1.844,0.998,,Evil Bone,12.42,73.7,AP,0.303,0.187,,,Gem of Berserker,2.6,351.9,AP,0.021,,,,Gem of Saber,1.95,469.2,AP,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,208,"13,668",,,8.9,2.0,35.5,324.9,,,Forbidden Page,162.4,AP,0.427,0.213,,,Great Knight Medal,162.4,AP,0.368,0.202,,,Proof of Hero,108.3,AP,0.190,0.093,,,Void's Dust,108.3,AP,0.288,0.140,,,Fool's Chain,108.3,AP,0.268,0.164,,,,,,,
Finals: Int,18.29,2.131,1.193,,Ghost Lantern,20.23,90.4,AP,0.575,0.373,,,Gem of Caster,17.82,102.6,AP,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,159,"13,797",,,18.1,4.0,17.6,321.8,,,Forbidden Page,160.9,AP,0.431,0.215,,,Great Knight Medal,160.9,AP,0.372,0.204,,,Proof of Hero,107.3,AP,0.192,0.094,,,Void's Dust,107.3,AP,0.291,0.141,,,Fool's Chain,107.3,AP,0.270,0.166,,,,,,,
Finals: Adv,27.12,2.143,1.199,,Mystic Spinal Fluid,31.37,86.5,AP,0.371,0.266,,,Gem of Assassin,20.39,133.0,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,162,"15,717",,,30.4,6.8,10.4,282.5,,,Forbidden Page,141.3,AP,0.491,0.245,,,Great Knight Medal,141.3,AP,0.423,0.232,,,Proof of Hero,94.2,AP,0.219,0.107,,,Void's Dust,94.2,AP,0.331,0.161,,,Fool's Chain,94.2,AP,0.308,0.189,,,,,,,
Finals: Exp,35.98,2.481,1.321,,Black Beast Grease,11.32,317.8,AP,0.323,0.196,,,Eternal Gear,23.27,154.6,AP,0.294,0.143,,,Magic Gem of Assassin,32.1,112.1,AP,0.161,,,,Assassin Monument,6.4,562.2,AP,0.124,,,,,,,,,,,,,,,,,,,,6400,178,"16,536",,,40.8,9.9,7.5,268.5,,,Forbidden Page,134.3,AP,0.516,0.258,,,Great Knight Medal,134.3,AP,0.445,0.244,,,Proof of Hero,89.5,AP,0.230,0.112,,,Void's Dust,89.5,AP,0.349,0.169,,,Fool's Chain,89.5,AP,0.324,0.199,,,,,,,
Finals: Hero,35.42,3.348,1.787,,Primordial Lanugo,21.4,165.5,AP,0.696,0.409,,,Octuplet Crystal,33.63,105.3,AP,0.495,0.241,,,Magic Gem of Rider,9,393.6,AP,0.055,,,,Rider Monument,10,354.2,AP,0.194,,,,,,,,,,,,,,,,,,,,7400,209,"19,137",,,43.2,12.1,6.6,232.0,,,Forbidden Page,116.0,AP,0.597,0.299,,,Great Knight Medal,116.0,AP,0.515,0.282,,,Proof of Hero,77.3,AP,0.266,0.130,,,Void's Dust,77.3,AP,0.403,0.196,,,Fool's Chain,77.3,AP,0.375,0.230,,,,,,,
Finals: Monarch,34.32,4.471,2.426,,Heart of the Foreign God,20.92,164.1,AP,0.992,0.613,,,Forbidden Page,35.53,96.6,AP,0.717,0.359,,,Secret Gem of Caster,19.62,174.9,AP,0.300,,,,Caster Monument,8.9,385.6,AP,0.182,,,,,,,,,,,,,,,,,,,,8400,245,"24,494",,,53.2,15.1,5.3,181.3,,,Forbidden Page,90.6,AP,0.765,0.382,,,Great Knight Medal,90.6,AP,0.660,0.361,,,Proof of Hero,60.4,AP,0.341,0.166,,,Void's Dust,60.4,AP,0.516,0.251,,,Fool's Chain,60.4,AP,0.480,0.294,,,,,,,
Finals: Champ,34.34,4.758,2.684,,Flaming Oni Lantern Plant,24.99,137.4,AP,1.237,0.757,,,Aurora Steel,49.08,70.0,AP,0.770,0.478,,,Secret Gem of Assassin,25.04,137.1,AP,1.152,,,,Assassin Monument,29.5,116.4,AP,0.599,,,,,,,,,,,,,,,,,,,,9400,274,"24,394",,,53.2,15.0,5.3,182.0,,,Forbidden Page,91.0,AP,0.761,0.381,,,Great Knight Medal,91.0,AP,0.657,0.360,,,Proof of Hero,60.7,AP,0.340,0.166,,,Void's Dust,60.7,AP,0.514,0.250,,,Fool's Chain,60.7,AP,0.478,0.293,,,,,,,
